"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","rt","stimulus","response","direction","screen_duration","acceleration","start_time","initial_speed","final_speed","correct_response","correct","key_response","ball_start_time","ball_end_time","key_press_time","rt_from_ball","practice","extreme","subject_id","study_id","session_id","right_bias","left_bias"
"true","fullscreen","0","13611","0.0-0.0","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","37595","0.0-1.0","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","23979","
            <p style=""text-align:left;"">In this study you will see a ball travelling across the screen.</p>
            <p style=""text-align:left;"">The ball will be either accelerating (getting faster) or decelerating (getting slower).</p>
            <p style=""text-align:left;"">Your task is to decide whether the ball is accelerating or decelerating.</p>
            <p style=""text-align:left;"">If the ball is accelerating press the A key.</p>
            <p style=""text-align:left;"">If the ball is decelerating press the D key.</p>
            <p style=""text-align:left;"">You can only respond once the ball has left the screen.</p>
            <p style=""text-align:left;"">You will now have an opportunity to practise, we will give you 8 trials and tell you if you are correct.</p>
            <p style=""text-align:left;"">Press the A key to start practising.</p>
            ","a","","","","","","","","","","","","","","","","","","","",""
"","moving-image","2","42076","0.0-2.0-0.0","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","2865","","","LEFT","1500","1.4","1000","1.8833333333333337","3.9833333333333334","a","false","d","1016","2508","2864","356","true","false","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
"","moving-image","3","45949","0.0-2.1-0.1","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","2367","","","RIGHT","1000","8","1000","0.40000000000000036","8.4","a","true","a","1010","2005","2366","361","true","true","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
"","moving-image","4","50701","0.0-2.2-0.2","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","3234","","","RIGHT","1500","3.54","1000","0.2783333333333333","5.588333333333334","a","false","d","1014","2498","3234","736","true","false","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
"","moving-image","5","55193","0.0-2.3-0.3","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","2979","","","RIGHT","1500","-1.4","1000","3.9833333333333334","1.8833333333333337","d","true","d","1010","2490","2980","490","true","false","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
"","moving-image","6","60263","0.0-2.4-0.4","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","3540","","","LEFT","1500","-3.54","1000","5.588333333333334","0.2783333333333333","d","false","a","1014","2454","3540","1086","true","false","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
"","moving-image","7","64597","0.0-2.5-0.5","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","2816","","","LEFT","1000","1.6","1000","3.6000000000000005","5.2","a","true","a","1010","2005","2816","811","true","false","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
"","moving-image","8","68500","0.0-2.6-0.6","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","2381","","","RIGHT","1000","-1.6","1000","5.2","3.6000000000000005","d","false","a","1009","2002","2380","378","true","false","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
"","moving-image","9","72464","0.0-2.7-0.7","823001ca7d6037a3302a9cadde54da9fd49a54ab620298cfc635c727833ca50d","360252","[246,66,183,252,80,175,73,210,109,225,135,9,209,155,44,122,252,99,89,169,27,137,55,3,3,133,82,196,4,193,43,149]","2431","","","LEFT","1000","-8","1000","8.4","0.40000000000000036","d","false","a","1015","1964","2432","468","true","true","61031f137855ff378d67c2fc","653902af85e25554703e03b0","653910170ff47022d6a7977f","Positive","Negative"
