"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","direction","screen_duration","acceleration","start_time","initial_speed","final_speed","correct_response","correct","key_response","ball_start_time","ball_end_time","key_press_time","rt_from_ball","practice","extreme","subject_id","study_id","session_id","right_bias","left_bias","recodeDir","recodeKey"
"","","","","","moving-image",3,37750,"0.0-3.0-0.0",3048,"","","DOWN",1000,1.06666,1000,3.86667,4.93333,"a","true","a",1000,2000,3048,1048,"true","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",1
"","","","","","moving-image",5,49667,"0.0-3.2-0.2",3928,"","","DOWN",1500,2.8,1000,0.833333333333334,5.03333333333333,"a","true","a",1001,2497,3928,1431,"true","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",1
"","","","","","moving-image",7,58571,"0.0-3.4-0.4",2635,"","","DOWN",1500,0,1000,2.93333333333333,2.93333333333333,"d","true","d",1001,2496,2634,138,"true","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",0
"","","","","","moving-image",8,62554,"0.0-3.5-0.5",2479,"","","LEFT",1000,1.06666,1000,3.86667,4.93333,"a","true","a",1000,2002,2479,477,"true","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",9,66350,"0.0-3.6-0.6",2291,"","","DOWN",1000,1.6,1000,3.6,5.2,"a","false","d",1000,2001,2291,290,"true","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",0
"","","","","","moving-image",13,85153,"0.0-3.10-0.10",3235,"","","DOWN",1500,1.4,1000,1.88333333333333,3.98333333333333,"a","false","d",1000,2497,3234,737,"true","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",0
"","","","","","moving-image",14,90578,"0.0-3.11-0.11",3905,"","","RIGHT",1500,0,1000,2.93333333333333,2.93333333333333,"d","false","a",1000,2497,3904,1407,"true","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DECELERATING",1
"","","","","","moving-image",16,126374,"0.0-5.0-0.0-0.0",2541,"","","DOWN",1500,-0.7,1000,3.45833333333333,2.40833333333333,"d","true","d",1001,2497,2541,44,"false","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",0
"","","","","","moving-image",18,132726,"0.0-5.0-0.2-0.2",2907,"","","DOWN",1500,1.06666,1000,2.13333833333333,3.73332833333333,"a","false","d",1000,2498,2906,408,"false","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",0
"","","","","","moving-image",20,139468,"0.0-5.0-0.4-0.4",2918,"","","DOWN",1500,1.06666,1000,2.13333833333333,3.73332833333333,"a","false","d",1001,2498,2919,421,"false","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DOWN",0
"","","","","","moving-image",21,142650,"0.0-5.0-0.5-0.5",2678,"","","RIGHT",1000,-1.06666,1000,4.93333,3.86667,"d","false","a",1000,2000,2677,677,"false","false","60c47bdfde98f62c0f688ae3","649333f3a54f0d623a537f0c","649334b34abc04b432b59807","Negative","Positive","DECELERATING",1
